"Marca temporal","¿Con qué frecuencia practicas tu instrumento o canto?","¿Qué tipo de recursos utilizas para estudiar música?","¿Conoce estudios de grabación y de producción musical en la ciudad de Cali?","¿Ha asistido a estudios de grabación y/o de producción musical?","¿Por qué no asistes a estudios de grabación y/o de producción musical?","¿Piensas que el costo/beneficio de los estudios de grabación y/o de producción musical es justo?","¿Que otras alternativas de estudios de grabación haz utilizado?","¿Que tan frecuente usa estos espacios?","¿Piensas que los estudios de grabación y/o de producción musical da espacio para conocer a personas que puedan ayudar a tu crecimiento profesional?","¿Piensas que el costo/beneficio de los estudios de grabación y/o de producción musical es justo?","¿Crees que hay suficientes oportunidades para los estudiantes de música para conectarse con otros músicos y colaborar en proyectos?"
"2023/03/12 12:43:01 p. m. GMT-5","Casi siempre","Libros;Videos","Sí","Sí","","","","A veces","Sí","No","No"
"2023/03/12 12:43:58 p. m. GMT-5","Casi siempre","Libros;Videos","Sí","Sí","","","","Siempre","Sí","Sí","No"
"2023/03/12 12:45:52 p. m. GMT-5","Casi siempre","Libros;Videos;Paginas web","Sí","Sí","","","","A veces","Sí","Sí","Sí"
"2023/03/12 12:47:40 p. m. GMT-5","A veces","Videos","Sí","Sí","","","","A veces","Sí","No","Sí"
"2023/03/12 12:49:52 p. m. GMT-5","Casi siempre","Videos;Paginas web","Sí","Sí","","","","Casi siempre","Sí","Sí","No"
"2023/03/12 12:52:39 p. m. GMT-5","Casi siempre","Libros;Videos","Sí","Sí","","","","A veces","Sí","Sí","Sí"
"2023/03/12 12:53:01 p. m. GMT-5","Siempre","Videos;Paginas web","Sí","Sí","","","","A veces","Sí","Sí","No"
"2023/03/12 12:53:59 p. m. GMT-5","A veces","Videos;Paginas web","Sí","No","Por la poca adecuacion del espacio","No","En casa","","","No","No"
"2023/03/12 12:54:04 p. m. GMT-5","A veces","Paginas web","Sí","Sí","","","","Casi siempre","Sí","Sí","Sí"
"2023/03/12 12:54:07 p. m. GMT-5","Casi siempre","Videos;Paginas web","Sí","Sí","","","","A veces","Sí","Sí","No"
"2023/03/12 12:54:17 p. m. GMT-5","Casi nunca","Videos;Paginas web","Sí","Sí","","","","Casi siempre","Sí","Sí","Sí"
"2023/03/12 12:55:05 p. m. GMT-5","Siempre","Libros;Videos;Paginas web","Sí","Sí","","","","A veces","Sí","Sí","Sí"
"2023/03/12 12:55:41 p. m. GMT-5","Casi siempre","Videos","Sí","No","No me he visto en la necesidad, lo que hago lo hago en mi home studio","No","En casa","","","No","Sí"
"2023/03/12 12:57:22 p. m. GMT-5","A veces","Videos","Sí","Sí","","","","A veces","Sí","Sí","Sí"
"2023/03/12 12:58:09 p. m. GMT-5","Casi nunca","Videos;Paginas web","Sí","Sí","","","","A veces","Sí","Sí","Sí"
"2023/03/12 12:58:15 p. m. GMT-5","A veces","Videos","Sí","Sí","","","","Casi siempre","Sí","Sí","No"
"2023/03/12 1:02:10 p. m. GMT-5","Casi siempre","Videos;Paginas web","No","No","No conozco","Sí","En casa","","","Sí","Sí"
"2023/03/12 1:02:13 p. m. GMT-5","Casi siempre","Libros;Videos","No","No","Por el costo;La ubicación del sitio","Sí","En casa","","","Sí","No"
"2023/03/12 1:02:47 p. m. GMT-5","Casi siempre","Videos","Sí","Sí","","","","A veces","Sí","Sí","Sí"
"2023/03/12 1:09:19 p. m. GMT-5","Casi siempre","Videos;Paginas web;Llamar a un amigo","Sí","Sí","","","","Casi nunca","Sí","Sí","No"
"2023/03/12 1:13:59 p. m. GMT-5","Siempre","Libros;Videos","Sí","No","Por el costo;La ubicación del sitio","No","En casa","","","No","Sí"
"2023/03/12 1:14:32 p. m. GMT-5","Siempre","Videos","Sí","Sí","","","","A veces","Sí","No","Sí"
